iteration : 3679, ce : 0.17413378618657588, dice : 0.5474763870239258, total_loss : 0.7216101720929146, time : 49
iteration : 3699, ce : 0.21175740361213685, dice : 0.5447949066758155, total_loss : 0.7565523087978363, time : 49
iteration : 3719, ce : 0.18698038682341575, dice : 0.5143089577555656, total_loss : 0.7012893408536911, time : 49
iteration : 3739, ce : 0.17583558708429337, dice : 0.487296998500824, total_loss : 0.6631325930356979, time : 49
iteration : 3759, ce : 0.17222339399158954, dice : 0.5174438282847404, total_loss : 0.6896672159433365, time : 49
iteration : 3779, ce : 0.23416501954197882, dice : 0.5177080616354942, total_loss : 0.7518730878829956, time : 49
iteration : 3799, ce : 0.20199710577726365, dice : 0.5525585502386093, total_loss : 0.7545556575059891, time : 49
iteration : 3819, ce : 0.190371510386467, dice : 0.5298751160502434, total_loss : 0.7202466323971748, time : 49
iteration : 3839, ce : 0.21011297553777694, dice : 0.5295887932181358, total_loss : 0.7397017657756806, time : 49
iteration : 3859, ce : 0.22040367014706136, dice : 0.49276525229215623, total_loss : 0.713168928027153, time : 49
iteration : 3879, ce : 0.2236797358840704, dice : 0.5495451092720032, total_loss : 0.7732248395681381, time : 49
iteration : 3899, ce : 0.23643799982964991, dice : 0.512813600897789, total_loss : 0.749251602590084, time : 49
iteration : 3919, ce : 0.18856224082410336, dice : 0.4901199370622635, total_loss : 0.6786821752786636, time : 49
iteration : 3939, ce : 0.18361356779932975, dice : 0.5368550300598145, total_loss : 0.7204685986042023, time : 49
iteration : 3959, ce : 0.1859060950577259, dice : 0.5420381709933281, total_loss : 0.727944266796112, time : 49
iteration : 3979, ce : 0.148189352825284, dice : 0.5187691316008568, total_loss : 0.6669584840536118, time : 49
iteration : 3999, ce : 0.17354074716567994, dice : 0.5306062519550323, total_loss : 0.70414699614048, time : 49
iteration : 4019, ce : 0.16836652010679246, dice : 0.5003827244043351, total_loss : 0.6687492474913597, time : 49
iteration : 4039, ce : 0.1986034780740738, dice : 0.5264215528964996, total_loss : 0.7250250309705735, time : 49
iteration : 4059, ce : 0.1699151001870632, dice : 0.5251620173454284, total_loss : 0.695077121257782, time : 49
iteration : 4079, ce : 0.18049236685037612, dice : 0.4956045150756836, total_loss : 0.6760968834161758, time : 49
iteration : 4099, ce : 0.18166274763643742, dice : 0.5018922686576843, total_loss : 0.6835550248622895, time : 49
iteration : 4119, ce : 0.2054087083786726, dice : 0.5290548101067543, total_loss : 0.7344635188579559, time : 49
iteration : 4139, ce : 0.16438509672880172, dice : 0.5061377078294754, total_loss : 0.6705228075385093, time : 49
iteration : 4159, ce : 0.18095931950956584, dice : 0.5457690775394439, total_loss : 0.7267283916473388, time : 49
iteration : 4179, ce : 0.19214860312640666, dice : 0.5186228141188621, total_loss : 0.7107714116573334, time : 49
iteration : 4199, ce : 0.21657417640089988, dice : 0.5298010498285294, total_loss : 0.7463752210140229, time : 49
iteration : 4219, ce : 0.18936597779393197, dice : 0.5329468972980976, total_loss : 0.7223128706216813, time : 49
iteration : 4239, ce : 0.16227698400616647, dice : 0.4872963324189186, total_loss : 0.649573315680027, time : 49
iteration : 4259, ce : 0.184519774466753, dice : 0.5110596224665642, total_loss : 0.6955793932080269, time : 49
iteration : 4279, ce : 0.19806061089038848, dice : 0.5398771464824677, total_loss : 0.7379377454519271, time : 49
iteration : 4299, ce : 0.19218712747097016, dice : 0.5298750072717666, total_loss : 0.7220621347427368, time : 49
iteration : 4319, ce : 0.15622028075158595, dice : 0.4963337890803814, total_loss : 0.6525540694594383, time : 49
iteration : 4339, ce : 0.16631181091070174, dice : 0.5093130379915237, total_loss : 0.6756248474121094, time : 49
iteration : 4359, ce : 0.16518048755824566, dice : 0.5186122626066207, total_loss : 0.6837927490472794, time : 49
iteration : 4379, ce : 0.1697256125509739, dice : 0.52440355271101, total_loss : 0.6941291660070419, time : 49
iteration : 4399, ce : 0.19813707172870637, dice : 0.554256547987461, total_loss : 0.7523936271667481, time : 49
iteration : 4419, ce : 0.18213492184877395, dice : 0.46739442497491834, total_loss : 0.6495293423533439, time : 49
iteration : 4439, ce : 0.17880321964621543, dice : 0.5150927498936653, total_loss : 0.6938959673047066, time : 49
iteration : 4459, ce : 0.2149946816265583, dice : 0.5647079780697822, total_loss : 0.7797026604413986, time : 49
iteration : 4479, ce : 0.18680049665272236, dice : 0.4940402865409851, total_loss : 0.680840790271759, time : 49
iteration : 4499, ce : 0.18950222693383695, dice : 0.5180092051625251, total_loss : 0.7075114369392395, time : 49
iteration : 4519, ce : 0.18450011275708675, dice : 0.5329896181821823, total_loss : 0.717489731311798, time : 49
